ODBIORCY_ID_FK;KONTA_STATUSY_SYMBOL;DOKUMENT_ID;DOKUMENT_NUMER;KWOTA_BRUTTO_ORYGINAL;KWOTA_NETTO_ORYGINAL;KWOTA_VAT_ORYGINAL;KWOTA_POZOSTALA;DATA_WYSTAWIENIA;DATA_ZAPLATY;DATA_KSIEGOWANIA
345919;K;23170010;0135021967;-4,44;-3,62;-0,82;-4,37;07/01/2014 00:00:00;21/01/2014 00:00:00;08/11/2018 00:00:00
346251;K;23143889;1405018855;-12,99;-10,56;-2,43;-9,89;29/05/2013 00:00:00;12/06/2013 00:00:00;08/11/2018 00:00:00
346269;K;23169997;7810833780;-74,89;-60,87;-14,02;-28,61;17/12/2013 00:00:00;31/12/2013 00:00:00;08/11/2018 00:00:00
347159;K;23128925;0355051161;-0,1;-0,08;-0,02;-0,06;17/01/2014 00:00:00;31/01/2014 00:00:00;08/11/2018 00:00:00
347792;K;23163516;5095000962;-21,06;-17,12;-3,94;-21,06;15/02/2013 00:00:00;01/03/2013 00:00:00;08/11/2018 00:00:00
347942;K;23138350;3245023445;-47,35;-38,5;-8,85;-5,71;05/11/2013 00:00:00;19/11/2013 00:00:00;08/11/2018 00:00:00
348110;K;23095850;9520017963;-480,11;-390,34;-89,77;-470,08;22/10/2013 00:00:00;05/11/2013 00:00:00;08/11/2018 00:00:00
348262;K;23362693;1705023614;-1,15;-0,96;-0,19;-0,4;27/05/2014 00:00:00;10/06/2014 00:00:00;08/11/2018 00:00:00
348262;K;26477749;8411135667;-110,39;-89,75;-20,64;-110,39;26/06/2014 00:00:00;26/06/2014 00:00:00;08/11/2018 00:00:00
348405;K;23171849;0405002703;-11,09;-9,02;-2,07;-11,09;24/09/2013 00:00:00;08/10/2013 00:00:00;08/11/2018 00:00:00
348440;K;23320694;7810570866;-2,48;-2,01;-0,47;-2,48;30/08/2013 00:00:00;13/09/2013 00:00:00;08/11/2018 00:00:00
348628;K;23168402;1405025335;-21,74;-17,69;-4,05;-21,74;30/04/2014 00:00:00;14/05/2014 00:00:00;08/11/2018 00:00:00
348765;K;28100886;1335017551;-0,33;-0,29;-0,04;-0,28;28/06/2013 00:00:00;12/07/2013 00:00:00;08/11/2018 00:00:00
348813;K;23151539;8410542967;-481,7;-391,66;-90,04;-279,19;02/10/2013 00:00:00;16/10/2013 00:00:00;08/11/2018 00:00:00
348991;K;23127918;4435046837;-63,85;-51,86;-11,99;-9,2;20/07/2012 00:00:00;03/08/2012 00:00:00;08/11/2018 00:00:00
349422;K;23283438;1705022954;-28,63;-23,28;-5,35;-28,63;04/04/2014 00:00:00;18/04/2014 00:00:00;08/11/2018 00:00:00
349665;K;23159497;4095049559;-2,07;-1,68;-0,39;-2,06;20/01/2014 00:00:00;03/02/2014 00:00:00;08/11/2018 00:00:00
350708;K;23292773;5720003749;-1,73;-1,4;-0,33;-1,21;21/02/2014 00:00:00;07/03/2014 00:00:00;08/11/2018 00:00:00
350760;K;23150492;1405019895;-1,92;-1,55;-0,37;-1,92;17/07/2013 00:00:00;31/07/2013 00:00:00;08/11/2018 00:00:00
